Log,P,N,fitness_token_based,fitness_alignment_based,precision_token_based,precision_alignments
Hospital_Billing.xes,,,0.917338799397944,0.8591107171422405,0.9123894799338885,0.9123900422661322
Hospital_Billing_merged_1024_15.xes,1024.0,15.0,0.9281214634863384,0.8727405282487772,0.998249184414781,0.9987620602383659
Hospital_Billing_merged_1024_20.xes,1024.0,20.0,0.9293270160320185,0.8734709889203056,0.99824693239218,0.9987632083288249
Hospital_Billing_merged_1024_10.xes,1024.0,10.0,0.92622392963499,0.8727448661241383,0.9787987299193862,0.9789487066606691
Hospital_Billing_merged_1024_25.xes,1024.0,25.0,0.9287223487568046,0.8731057586842932,0.9982480584034805,0.9987626342835952
Hospital_Billing_merged_1024_30.xes,1024.0,30.0,0.9287118934711612,0.8730182159316175,0.9982480584034805,0.9987626342835954
Hospital_Billing_merged_1024_35.xes,1024.0,35.0,0.9293203427511234,0.8733834459681266,0.99824693239218,0.9987632083288247
Hospital_Billing_merged_1024_40.xes,1024.0,40.0,0.9293374713176614,0.8735585316729813,0.99824693239218,0.9987632083288247
Hospital_Billing_merged_1024_45.xes,1024.0,45.0,0.9275348155062634,0.8724628403664333,0.9982503104260816,0.9987614861931364
Hospital_Billing_merged_1024_50.xes,1024.0,50.0,0.9299107727359462,0.873661133650967,0.9982458063808795,0.9987637823740542
Hospital_Billing_merged_1024_55.xes,1024.0,55.0,0.9290034294691821,0.866080830115585,0.9974725167612915,0.9992582694244326
Hospital_Billing_merged_1024_60.xes,1024.0,60.0,0.9287365860471954,0.8731933012374654,0.9982480584034805,0.9987626342835952
Hospital_Billing_merged_1024_65.xes,1024.0,65.0,0.9275272514967675,0.8724628407654402,0.9982503104260816,0.9987614861931366
Hospital_Billing_merged_1024_70.xes,1024.0,70.0,0.9271936811181902,0.8685404968541939,0.9976512016525309,0.9990087297183259
Hospital_Billing_merged_1024_75.xes,1024.0,75.0,0.9287014381855183,0.8729306731789418,0.9982480584034805,0.9987626342835954
Hospital_Billing_merged_1024_80.xes,1024.0,80.0,0.9295090126798696,0.8720081173587924,0.9983711799216175,0.9988874041366488
Hospital_Billing_merged_1024_85.xes,1024.0,85.0,0.9287156754759092,0.873018215732114,0.9982480584034805,0.9987626342835954
Hospital_Billing_merged_1024_90.xes,1024.0,90.0,0.9287261307615523,0.8731057584847897,0.9982480584034805,0.9987626342835954
Hospital_Billing_merged_128_10.xes,128.0,10.0,0.936255635042305,0.8856948887042979,0.9922317640541328,0.9922214081479153
Hospital_Billing_merged_128_15.xes,128.0,15.0,0.9366005726087382,0.8856475098164749,0.9951435944721846,0.995494667157043
Hospital_Billing_merged_128_20.xes,128.0,20.0,0.9366007279842472,0.8856544016076346,0.9951472515175143,0.995494667157043
Hospital_Billing_merged_128_25.xes,128.0,25.0,0.9366004509459828,0.8856475098164749,0.9951490800401792,0.995494667157043
Hospital_Billing_merged_128_30.xes,128.0,30.0,0.9366003732579653,0.8856413430570089,0.9951472515175143,0.995494667157043
Hospital_Billing_merged_128_35.xes,128.0,35.0,0.9366003733140594,0.8856451520125359,0.9951472515175144,0.995494667157043
Hospital_Billing_merged_128_40.xes,128.0,40.0,0.9366002550159589,0.885637897161429,0.9951472515175144,0.995494667157043
Hospital_Billing_merged_128_45.xes,128.0,45.0,0.9366006908507444,0.8856514997578753,0.9951435944721846,0.995494667157043
Hospital_Billing_merged_128_50.xes,128.0,50.0,0.9366005691879892,0.8856520438036958,0.9951490800401792,0.995494667157043
Hospital_Billing_merged_128_55.xes,128.0,55.0,0.9366004509459828,0.8856485979081159,0.9951490800401792,0.995494667157043
Hospital_Billing_merged_128_60.xes,128.0,60.0,0.9366358267910009,0.8858762043930651,0.9952806076802935,0.9954949722623876
