Log,P,N,fitness_token_based,fitness_alignment_based,precision_token_based,precision_alignments
help_desk.xes,,,0.8314833281455827,0.7264943895070661,0.8740305228921691,0.8474784912426241
help_desk_1024_15.xes,1024.0,15.0,0.9261099657242278,0.8766451087177216,0.9975191700496169,1.0
help_desk_1024_10.xes,1024.0,10.0,0.9261856067093811,0.8869604245616601,0.9975191700496169,1.0
help_desk_1024_20.xes,1024.0,20.0,0.9262567480721792,0.8760960903702056,0.9975191700496169,1.0
help_desk_1024_25.xes,1024.0,25.0,0.9262211770223822,0.8760633158523982,0.9975191700496169,1.0
help_desk_1024_30.xes,1024.0,30.0,0.9261455644088755,0.8852910090422947,0.9975191700496169,1.0
help_desk_1024_35.xes,1024.0,35.0,0.9261277829350749,0.8754099251591739,0.9975191700496169,1.0
help_desk_1024_40.xes,1024.0,40.0,0.9262611953740787,0.8744652386559071,0.9975191700496169,1.0
help_desk_1024_45.xes,1024.0,45.0,0.9262834241497788,0.8805180097943162,0.9975191700496169,1.0
help_desk_1024_50.xes,1024.0,50.0,0.9261900540112808,0.8853295728473617,0.9975191700496169,1.0
help_desk_1024_55.xes,1024.0,55.0,0.9261500080247334,0.8827094462979144,0.9975191700496169,1.0
help_desk_1024_60.xes,1024.0,60.0,0.9261455327195847,0.8746571526527396,0.9975191700496169,1.0
help_desk_1024_65.xes,1024.0,65.0,0.9261900540112808,0.8853295728473617,0.9975191700496169,1.0
help_desk_1024_70.xes,1024.0,70.0,0.9262256246926798,0.8776999447212208,0.9975191700496169,1.0
help_desk_1024_75.xes,1024.0,75.0,0.9262523007702794,0.8799244031149177,0.9975191700496169,1.0
help_desk_1024_80.xes,1024.0,80.0,0.9261589306317815,0.8869334271983769,0.9975191700496169,1.0
help_desk_1024_85.xes,1024.0,85.0,0.9261811314042326,0.881105591946899,0.9975191700496169,1.0
help_desk_1024_90.xes,1024.0,90.0,0.9262789768478793,0.884346322539028,0.9975191700496169,1.0
help_desk_128_10.xes,128.0,10.0,0.9024881548064899,0.34671715547229204,0.8200487204337691,0.8278105696636925
help_desk_128_15.xes,128.0,15.0,0.9019157043886376,0.34671715547229204,0.819821346213612,0.8278105696636925
help_desk_128_20.xes,128.0,20.0,0.9001111109355975,0.346717155472292,0.819821346213612,0.8278105696636925
help_desk_128_25.xes,128.0,25.0,0.9018386650039381,0.34671715547229204,0.819821346213612,0.8278105696636925
help_desk_128_30.xes,128.0,30.0,0.8960900888693921,0.4555190965186863,0.8151173938251863,0.8262703847628234
help_desk_128_35.xes,128.0,35.0,0.9070745333439183,0.3467171554722919,0.8199350333236906,0.8278105696636925
help_desk_128_40.xes,128.0,40.0,0.9023938187629706,0.346717155472292,0.8194802848833767,0.8278105696636925
help_desk_128_45.xes,128.0,45.0,0.9001241509049777,0.346717155472292,0.819821346213612,0.8278105696636925
help_desk_128_50.xes,128.0,50.0,0.9019044659043052,0.34671715547229204,0.819821346213612,0.8278105696636925
help_desk_128_55.xes,128.0,55.0,0.9086730075310255,0.3467171554722919,0.8199350333236906,0.8278105696636925
help_desk_128_60.xes,128.0,60.0,0.9033472922434713,0.346717155472292,0.8198213462136122,0.8278105696636925
help_desk_128_65.xes,128.0,65.0,0.8901366519502603,0.528053723882949,0.8110215116880365,0.8258141910740511
help_desk_128_70.xes,128.0,70.0,0.9017382479080501,0.34671715547229204,0.8198213462136122,0.8278105696636925
help_desk_128_75.xes,128.0,75.0,0.8919388120223095,0.6187220080882776,0.8151339299603094,0.8239601074115197
help_desk_128_80.xes,128.0,80.0,0.9021133175605229,0.34671715547229204,0.8199350333236906,0.8278105696636925
help_desk_128_85.xes,128.0,85.0,0.900112244084627,0.346717155472292,0.819821346213612,0.8278105696636925
help_desk_128_90.xes,128.0,90.0,0.9019218404335658,0.34671715547229204,0.8198213462136122,0.8278105696636925
help_desk_16_10.xes,16.0,10.0,0.8554354712422774,0.8999061919873299,0.8516254582004213,0.8666067546613881
help_desk_16_15.xes,16.0,15.0,0.8556166175755451,0.9016494963088769,0.8523579643007778,0.8672783390676798
help_desk_16_20.xes,16.0,20.0,0.8554144713589189,0.899689622311198,0.8511568687232651,0.8661078834994704
help_desk_16_25.xes,16.0,25.0,0.8553486066878865,0.8996665255675642,0.8515218134127357,0.866348107102187
help_desk_16_30.xes,16.0,30.0,0.8552436220828048,0.9011331822538517,0.8512733619122004,0.8661848169897353
help_desk_16_35.xes,16.0,35.0,0.8552858735954297,0.8992484739319808,0.8505691693357585,0.8653409416464296
help_desk_16_40.xes,16.0,40.0,0.8555228993565335,0.9001155242944445,0.8523502317394455,0.8672736275017187
help_desk_16_45.xes,16.0,45.0,0.8553398773273727,0.9007608725791352,0.850320717835223,0.8651776515339776
help_desk_16_50.xes,16.0,50.0,0.8554367743625422,0.8998872734692098,0.8517496839506891,0.8666883997176139
