Log,P,N,fitness_token_based,fitness_alignment_based,precision_token_based,precision_alignments
traffic_fines.xes,,,0.9285511833243573,0.8477453919028334,0.9913625082917359,0.9913566987504848
trafficFinesMerged_1024_10.xes,1024.0,10.0,0.9261416485798067,0.850946834958265,0.8912494214016909,0.8912494214016909
trafficFinesMerged_1024_15.xes,1024.0,15.0,0.9261595347281384,0.8448242414237688,0.8912509429524054,0.8912509429524054
trafficFinesMerged_1024_20.xes,1024.0,20.0,0.9261422262291953,0.8464882102073492,0.8912502956766348,0.8912502956766348
trafficFinesMerged_1024_25.xes,1024.0,25.0,0.9261816316022488,0.8501350390835023,0.8912503241790961,0.8912503241790961
trafficFinesMerged_1024_30.xes,1024.0,30.0,0.9261609408429144,0.846063919845761,0.8912506054601058,0.8912506054601058
trafficFinesMerged_1024_35.xes,1024.0,35.0,0.9261622658047755,0.8408517117686696,0.891249981219733,0.891249981219733
trafficFinesMerged_1024_40.xes,1024.0,40.0,0.9261795312649929,0.8573293462521712,0.8912510395732081,0.8912510395732081
trafficFinesMerged_1024_45.xes,1024.0,45.0,0.9261431647927845,0.8472968358088588,0.8912496577292229,0.8912496577292229
trafficFinesMerged_1024_50.xes,1024.0,50.0,0.8335268331027702,0.8500357047019754,0.8912506183974198,0.8912506183974198
trafficFinesMerged_1024_55.xes,1024.0,55.0,0.9261410622540239,0.8553448705330531,0.8912500069893883,0.8912500069893883
trafficFinesMerged_1024_60.xes,1024.0,60.0,0.9261418668374898,0.8440739614424226,0.8912500801767473,0.8912500801767473
trafficFinesMerged_1024_65.xes,1024.0,65.0,0.9261417734087882,0.8448274103471032,0.8912504677907508,0.8912504677907508
trafficFinesMerged_1024_70.xes,1024.0,70.0,0.9261419490504567,0.8420863373548861,0.8912495095311481,0.8912495095311481
trafficFinesMerged_1024_75.xes,1024.0,75.0,0.9261405516856893,0.8448244634282538,0.8912498556935011,0.8912498556935011
trafficFinesMerged_1024_80.xes,1024.0,80.0,0.9261606898081831,0.8585648836777956,0.8912504744402014,0.8912504744402014
trafficFinesMerged_1024_85.xes,1024.0,85.0,0.8335260667424352,0.8477243018309377,0.8912502725843149,0.8912502725843149
trafficFinesMerged_1024_90.xes,1024.0,90.0,0.9261418475291878,0.8605552234147783,0.8912499365936378,0.8912499365936378
trafficFinesMerged_128_10.xes,128.0,10.0,0.924985728078825,0.8489697017270306,0.9959318172427292,0.9959318172427292
trafficFinesMerged_128_15.xes,128.0,15.0,0.9249631987730427,0.8553176318255499,0.9959408382854706,0.9959408382854706
trafficFinesMerged_128_20.xes,128.0,20.0,0.9250128513498568,0.8494054382396488,0.9959396172358931,0.9959396172358931
trafficFinesMerged_128_25.xes,128.0,25.0,0.8324218294873169,0.8498200911118318,0.9959391085380773,0.9959391085380773
trafficFinesMerged_128_30.xes,128.0,30.0,0.92498704377008,0.8568682964897683,0.9959384143680687,0.9959384143680687
trafficFinesMerged_128_35.xes,128.0,35.0,0.9249638127241134,0.8516736861668648,0.9959385203863409,0.9959385203863409
trafficFinesMerged_128_40.xes,128.0,40.0,0.9249615505138256,0.8551999329400365,0.9959386105975497,0.9959386105975497
trafficFinesMerged_128_45.xes,128.0,45.0,0.9249882233694002,0.8458794711746009,0.9959394826053455,0.9959394826053455
trafficFinesMerged_128_55.xes,128.0,55.0,0.9249858816921117,0.8498191649922052,0.9959388100894163,0.9959388100894163
trafficFinesMerged_128_50.xes,128.0,50.0,0.9250144901766115,0.8458829489688451,0.9959392544778932,0.9959392544778932
trafficFinesMerged_128_60.xes,128.0,60.0,0.8325261537261138,0.8580096019220683,0.9959400194916153,0.9959400194916153
trafficFinesMerged_128_65.xes,128.0,65.0,0.9250127244669871,0.8478499535995786,0.9959425655671662,0.9959425655671662
trafficFinesMerged_128_70.xes,128.0,70.0,0.8325501439898761,0.8498183172171613,0.9959393280444578,0.9959393280444578
trafficFinesMerged_128_75.xes,128.0,75.0,0.9249351483132658,0.8568721183405786,0.9959401406017842,0.9959401406017842
trafficFinesMerged_128_80.xes,128.0,80.0,0.8324981762375323,0.8553161837575619,0.995939963339578,0.995939963339578
trafficFinesMerged_128_85.xes,128.0,85.0,0.9249856822126425,0.853346788203112,0.9959400749898519,0.9959400749898519
trafficFinesMerged_128_90.xes,128.0,90.0,0.9249877568741283,0.8608168292943923,0.9959406726653649,0.9959406726653649
trafficFinesMerged_16_10.xes,16.0,10.0,0.9290558394190971,0.8644530002249613,0.9951536667298921,0.9951536667298921
trafficFinesMerged_16_15.xes,16.0,15.0,0.9290391115938578,0.8624685010082235,0.9952036638015805,0.9951986389497162
trafficFinesMerged_16_20.xes,16.0,20.0,0.92898323694484,0.8600372325627283,0.9951639984949041,0.9951589726645704
trafficFinesMerged_16_25.xes,16.0,25.0,0.9290773926605471,0.8743754193790088,0.9952433950033326,0.9952408820688008
trafficFinesMerged_16_30.xes,16.0,30.0,0.8360453547733216,0.8683033031371968,0.9952765604942317,0.9952739025093115
trafficFinesMerged_16_35.xes,16.0,35.0,0.8361740006716621,0.8600418854888815,0.9952356680476454,0.9952356680476454
trafficFinesMerged_16_40.xes,16.0,40.0,0.929089944486025,0.8685325134628699,0.995205375473763,0.9952004903568111
trafficFinesMerged_16_45.xes,16.0,45.0,0.9290247647204264,0.8602510139326635,0.9952795443154464,0.9952770319194993
trafficFinesMerged_16_50.xes,16.0,50.0,0.9291056610432505,0.8696807414133108,0.9951973921154368,0.9951950179105754
trafficFinesMerged_16_55.xes,16.0,55.0,0.9290187651060855,0.8707961532853246,0.9952441246878119,0.9952363058216616
trafficFinesMerged_16_60.xes,16.0,60.0,0.9290660580824971,0.8624984443810881,0.9952420980168005,0.9952370731567463
trafficFinesMerged_16_65.xes,16.0,65.0,0.8360768470838202,0.8602510662063659,0.9952706051037303,0.9952680940933553
trafficFinesMerged_16_70.xes,16.0,70.0,0.8361735814487735,0.8602607517616521,0.9953880830590414,0.9953880830590414
trafficFinesMerged_16_75.xes,16.0,75.0,0.9290479814080831,0.8589112305567769,0.9952030136324558,0.9951953374339843
trafficFinesMerged_16_80.xes,16.0,80.0,0.8360963470677237,0.8649562667130836,0.995278010552752,0.9952701936651239
trafficFinesMerged_16_85.xes,16.0,85.0,0.9291613743666398,0.8624985589591775,0.995205454917398,0.9952029380475091
trafficFinesMerged_16_90.xes,16.0,90.0,0.8361533552103442,0.8660738883955018,0.9951960061265546,0.9951933541277272
trafficFinesMerged_256_10.xes,256.0,10.0,0.92512988278555,0.8479921362006703,0.9959916097660683,0.9959916097660683
trafficFinesMerged_256_15.xes,256.0,15.0,0.9250789858400192,0.8514981007008501,0.9960383962183199,0.9960383962183199
trafficFinesMerged_256_20.xes,256.0,20.0,0.9251304070685895,0.8625243822204783,0.9959438055525321,0.9959438055525321
trafficFinesMerged_256_25.xes,256.0,25.0,0.9251080426877719,0.8444325281755163,0.9960359148743099,0.9960359148743099
trafficFinesMerged_256_30.xes,256.0,30.0,0.8325756975595754,0.8511357680356332,0.9958977251100206,0.9958977251100206
trafficFinesMerged_256_35.xes,256.0,35.0,0.9251531226413642,0.8637792675593259,0.9959922678807427,0.9959922678807427
trafficFinesMerged_256_40.xes,256.0,40.0,0.9251548900216738,0.8467901244353687,0.9959427006245543,0.9959427006245543
trafficFinesMerged_256_45.xes,256.0,45.0,0.925129780436851,0.8570239588835491,0.9960845949156468,0.9960845949156468
trafficFinesMerged_256_50.xes,256.0,50.0,0.8325768845247172,0.8479895550527636,0.9959895015939404,0.9959895015939404
trafficFinesMerged_256_55.xes,256.0,55.0,0.9251069470894837,0.8511373732004804,0.9958952068893779,0.9958952068893779
trafficFinesMerged_256_60.xes,256.0,60.0,0.9251555084602272,0.8535176000747036,0.9959420042564544,0.9959420042564544
trafficFinesMerged_256_65.xes,256.0,65.0,0.9250590772092429,0.8621829082638935,0.9959416792315814,0.9959416792315814
trafficFinesMerged_256_70.xes,256.0,70.0,0.9250827992355536,0.8479959737068224,0.9958973495489449,0.9958973495489449
trafficFinesMerged_256_75.xes,256.0,75.0,0.9251775826578192,0.8495372410059016,0.9958495347420351,0.9958495347420351
trafficFinesMerged_256_80.xes,256.0,80.0,0.9251304002781833,0.8530989944817426,0.9959435316661656,0.9959435316661656
